timestep,raw_value,voltage_V,tds_ppm
689,94,0.459,199.6
690,94,0.459,199.6
691,94,0.459,199.6
692,93,0.454,197.4
693,93,0.454,197.4
694,94,0.459,199.6
695,93,0.454,197.4
696,93,0.454,197.4
697,93,0.454,197.4
698,94,0.459,199.6
699,93,0.454,197.4
700,94,0.459,199.6
701,94,0.459,199.6
702,94,0.459,199.6
703,94,0.459,199.6
704,94,0.459,199.6
705,94,0.459,199.6
706,94,0.459,199.6
707,94,0.459,199.6
708,94,0.459,199.6
709,93,0.454,197.4
710,93,0.454,197.4
711,93,0.454,197.4
712,94,0.459,199.6
713,93,0.454,197.4
714,94,0.459,199.6
715,94,0.459,199.6
716,93,0.454,197.4
717,94,0.459,199.6
718,93,0.454,197.4
719,93,0.454,197.4
720,93,0.454,197.4
721,93,0.454,197.4
722,93,0.454,197.4
723,93,0.454,197.4
724,94,0.459,199.6
725,93,0.454,197.4
726,93,0.454,197.4
727,93,0.454,197.4
728,94,0.459,199.6
729,93,0.454,197.4
730,93,0.454,197.4
731,94,0.459,199.6
732,94,0.459,199.6
733,93,0.454,197.4
734,93,0.454,197.4
735,93,0.454,197.4
736,93,0.454,197.4
737,94,0.459,199.6
738,94,0.459,199.6
739,93,0.454,197.4
740,94,0.459,199.6
741,93,0.454,197.4
742,94,0.459,199.6
743,94,0.459,199.6
744,94,0.459,199.6
745,93,0.454,197.4
746,93,0.454,197.4
747,93,0.454,197.4
748,93,0.454,197.4
749,94,0.459,199.6
750,93,0.454,197.4
751,94,0.459,199.6
752,94,0.459,199.6
753,93,0.454,197.4
754,94,0.459,199.6
755,94,0.459,199.6
756,93,0.454,197.4
757,93,0.454,197.4
758,93,0.454,197.4
759,93,0.454,197.4
760,94,0.459,199.6
761,93,0.454,197.4
762,93,0.454,197.4
763,93,0.454,197.4
764,93,0.454,197.4
765,93,0.454,197.4
766,93,0.454,197.4
767,94,0.459,199.6
768,93,0.454,197.4
769,94,0.459,199.6
770,93,0.454,197.4
771,93,0.454,197.4
772,93,0.454,197.4
773,94,0.459,199.6
774,94,0.459,199.6
775,94,0.459,199.6
776,94,0.459,199.6
777,94,0.459,199.6
778,94,0.459,199.6
779,93,0.454,197.4
780,93,0.454,197.4
781,93,0.454,197.4
782,94,0.459,199.6
783,94,0.459,199.6
784,94,0.459,199.6
785,94,0.459,199.6
786,94,0.459,199.6
787,94,0.459,199.6
788,94,0.459,199.6
789,94,0.459,199.6
790,93,0.454,197.4
791,93,0.454,197.4
792,93,0.454,197.4
793,94,0.459,199.6
794,94,0.459,199.6
795,93,0.454,197.4
796,94,0.459,199.6
797,94,0.459,199.6
798,94,0.459,199.6
799,94,0.459,199.6
800,93,0.454,197.4
801,94,0.459,199.6
802,94,0.459,199.6
803,94,0.459,199.6
804,93,0.454,197.4
805,93,0.454,197.4
806,93,0.454,197.4
807,94,0.459,199.6
808,94,0.459,199.6
809,93,0.454,197.4
810,94,0.459,199.6
811,94,0.459,199.6
812,94,0.459,199.6
813,93,0.454,197.4
814,93,0.454,197.4
815,93,0.454,197.4
816,93,0.454,197.4
817,94,0.459,199.6
818,93,0.454,197.4
819,93,0.454,197.4
820,94,0.459,199.6
821,93,0.454,197.4
822,94,0.459,199.6
823,93,0.454,197.4
824,93,0.454,197.4
825,94,0.459,199.6
826,94,0.459,199.6
827,94,0.459,199.6
828,94,0.459,199.6
829,94,0.459,199.6
830,94,0.459,199.6
831,94,0.459,199.6
832,93,0.454,197.4
833,94,0.459,199.6
834,94,0.459,199.6
835,94,0.459,199.6
836,93,0.454,197.4
837,94,0.459,199.6
838,94,0.459,199.6
839,93,0.454,197.4
840,94,0.459,199.6
841,94,0.459,199.6
842,93,0.454,197.4
843,94,0.459,199.6
844,93,0.454,197.4
845,93,0.454,197.4
846,94,0.459,199.6
847,93,0.454,197.4
848,94,0.459,199.6
849,94,0.459,199.6
850,94,0.459,199.6
851,93,0.454,197.4
852,94,0.459,199.6
853,94,0.459,199.6
854,94,0.459,199.6
